		C2C						A2A						CF2CF						
	Component	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	Gator	IC3	IC3-Dial	A3E	Story	ICCBot	
com.bernard.IndiaNewsLive	4	4	0	0	0	1	2	4	0	0	0	1	2	4	0	0	0	3	2	
com.selfhealing.candle11	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	
com.caterpillar264.cortesdepelohombre	53	239	0	0	0	10	207	239	0	0	0	10	201	239	0	0	0	38	262	
com.familyringtones.soundsapp	15	0	0	0	4	0	10	0	0	0	1	0	1	0	0	0	4	0	10	
com.Appsinnovate.GIZCandyCareer	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.CantoJilguero.dosendev	59	27	0	0	0	0	887	27	0	0	0	0	703	27	0	0	0	28	887	
com.thekonnected	21	2	0	0	0	8	16	2	0	0	0	8	15	2	0	0	0	56	45	
com.resumeplay.speedscramble	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
air.com.EscapeGamesBombSquad2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
br.com.icolibra.saaedoco	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.lionmobi.battery	96	224	0	0	118	103	186	224	0	0	71	91	81	224	0	0	118	152	197	
com.intoronto.myschedule	21	87	81	0	53	76	59	87	77	0	50	76	55	87	81	0	53	76	59	
com.eliangames.neverland_treasure_new	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.snrsopstdios.carsonluadfggrders.song	52	239	0	0	0	10	206	239	0	0	0	10	202	239	0	0	0	39	261	
com.mcommerce.tray.lojadaconfeitaria	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	
com.nostiapps.claptofind	5	1	0	4	0	3	5	1	0	2	0	2	2	1	0	4	0	5	7	
physiotherapy.books	87	0	0	0	41	40	161	0	0	0	39	40	158	0	0	0	41	42	167	
com.ayoub.dev.stayla_algerie_o	5	2	0	0	1	3	6	2	0	0	1	3	3	2	0	0	1	4	6	
com.smsmegatools	5	12	3	3	4	3	4	12	3	3	4	3	4	12	3	3	4	3	4	
com.yft.jetbattle3dtab	11	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	2	0	6	
com.app.android.lknam.organizer	19	10	0	0	21	25	27	10	0	0	20	25	25	10	0	0	21	25	27	
com.codesector.indrive	9	6	8	8	8	9	8	6	7	7	6	8	7	6	8	8	8	9	8	
com.fcuoit.fcumobile	44	125	0	0	2	4	70	125	0	0	2	4	70	125	0	0	2	33	68	
com.shindig	5	12	5	5	2	5	3	12	5	5	2	5	3	12	5	5	2	5	6	
com.money.potion.myapp	8	12	0	0	0	0	6	12	0	0	0	0	6	12	0	0	0	1	6	
com.gogii.textplus	160	477	0	0	1	0	84	477	0	0	0	0	79	477	0	0	1	0	192	
com.seagate.goflexsatellite	39	40	0	0	18	1	150	40	0	0	11	1	133	40	0	0	18	1	543	
sweet.candy.camera	84	636	0	0	1	26	94	636	0	0	1	26	88	636	0	0	1	32	102	
com.delivery.eiyoSushi	13	0	0	0	1	0	2	0	0	0	1	0	2	0	0	0	1	0	15	
com.com.thedevs.com.brokensoundglass	3	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	
com.rivalspil.president.captainhero	12	7	2	2	1	0	3	7	2	2	1	0	3	7	2	2	1	0	3	
com.MinimalistHomeDesignTwoFloors.azzalea	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
com.mobiloids.ballsorting	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.jehanapps.solarchargersimulator	2	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	
com.etakescare.tucky	20	9	0	0	1	15	35	9	0	0	0	14	23	9	0	0	1	17	34	
com.owlab.food_angels	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.slfteam.moonbook	22	378	0	0	0	3	52	378	0	0	0	3	52	378	0	0	0	4	61	
piproduction.frankthejew	4	0	1	1	1	0	4	0	0	0	0	0	0	0	1	1	1	0	4	
com.limebike	58	10	0	0	0	0	15	10	0	0	0	0	10	10	0	0	0	0	32	
com.rahmadwidodo94.alanwalker.offline	11	6	0	0	0	2	10	6	0	0	0	0	3	6	0	0	0	6	10	
test.mytestbuddy.medical	14	11	15	15	18	19	22	11	10	10	11	16	15	11	15	15	18	90	91	
com.risengrace.ministries	30	16	19	0	26	29	34	16	18	0	25	29	30	16	19	0	26	46	36	
com.ayodev.dictionary.arabic	3	1	1	1	0	2	2	1	1	1	0	2	2	1	1	1	0	2	2	
com.cadmiumcd.aapdcontainer2016	144	3756	0	0	58	22	1076	3756	0	0	44	20	798	3756	0	0	58	84	1074	
com.pallapay	2	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	
conversor.conversaotaxasbasico.gbpbdt	4	2	0	0	0	0	3	2	0	0	0	0	3	2	0	0	0	0	3	
dbeats.app.mp3.merger.trimmer.mixer.converter.speedchanger.mp3editor	18	20	0	0	29	44	29	20	0	0	29	44	29	20	0	0	29	45	29	
com.uniregistry	249	41476	0	0	0	0	1006	41476	0	0	0	0	1005	41476	0	0	0	0	1025	
com.piedlove.haunted.cemetery.spooky.moon	5	0	0	3	2	2	3	0	0	1	1	1	1	0	0	3	2	3	3	
com.sugarloafgames.games.free.milkyway	5	0	2	2	0	0	0	0	2	2	0	0	0	0	2	2	0	0	0	
com.SmartCentre.healthVetamins	10	8	0	10	12	11	14	8	0	10	10	11	11	8	0	10	12	12	14	
emax.kannurshareef	7	1	3	5	6	1	5	1	1	1	2	1	2	1	3	5	6	1	7	
com.vsapps.locationplotter	3	2	1	2	1	2	2	2	1	2	1	2	2	2	1	2	1	2	2	
appchen117.myapplication	64	29	0	0	3	43	45	29	0	0	3	43	44	29	0	0	3	76	45	
com.mariana_biblia_portugues_audio_mp3.mariana_biblia_portugues_audio_mp3	2	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
com.cutepics.hdcharliedameliowallpaper	23	3	0	0	2	2	25	3	0	0	2	2	5	3	0	0	2	5	31	
com.undercutcatalog.abadiio	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
com.mindvalley.mva	74	937	0	0	2	0	141	937	0	0	2	0	115	937	0	0	2	0	187	
pixel.craft.legends	11	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	
com.lvlworld.webapp	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
org.irmavep.app.image	6	0	2	4	0	2	2	0	1	3	0	2	2	0	2	4	0	2	7	
mobogram.mobogram.telegram.plus.messenger.hanista	48	0	0	0	0	2	43	0	0	0	0	2	11	0	0	0	0	4	43	
br.com.sportv.times.internacional	17	0	2	6	0	0	2	0	2	6	0	0	0	0	2	6	0	0	3	
com.monojrai831.PRESS_TV_HISPAN_TV	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.hexlab.a_lock	16	11	0	0	2	1	12	11	0	0	2	1	4	11	0	0	2	1	19	
nl.ns.android.activity	109	0	0	0	9	41	622	0	0	0	6	41	411	0	0	0	9	134	882	
com.thegrizzlylabs.geniusscan.free	12	1	24	24	2	1	35	1	24	24	2	1	35	1	24	24	2	2	89	
com.capsuledna.bbtmhf	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	
com.dbai.predictbabyfacesix	5	16	0	0	0	4	4	16	0	0	0	4	4	16	0	0	0	4	4	
air.net.lol.genioquiz13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.jjtapps.hechizosdeamorgratis.amarrescaseros.esoterismo.magiablancanegra	18	2	0	0	0	1	10	2	0	0	0	1	2	2	0	0	0	8	11	
com.alwali.latestmehndidesigns	7	3	12	12	5	4	4	3	12	12	5	4	4	3	12	12	5	5	3	
com.webapp.KidsSongsJukeboxs	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	
com.funwayhq.eisenfrauen	6	1	1	1	2	3	3	1	1	1	2	3	3	1	1	1	2	4	3	
com.aurorasi.aurorasfa	56	188	0	0	0	31	49	188	0	0	0	31	49	188	0	0	0	50	49	
air.SpeedCarRacing	13	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	4	
com.robertocaiazzo.dizionario	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
com.cyberlink.photodirector	34	14	0	0	16	19	60	14	0	0	15	19	60	14	0	0	16	73	125	
ch.opengis.qfield	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
com.fpfruits.gamepack	8	3	1	1	2	0	6	3	0	0	1	0	5	3	1	1	2	8	6	
com.malauzai.org841	53	2279	0	0	28	32	885	2279	0	0	13	22	833	2279	0	0	28	73	885	
com.sportytrader.livebasket	20	0	0	0	26	21	40	0	0	0	26	21	40	0	0	0	26	24	42	
bluepin_app.cont.doongdoong1	4	0	1	1	0	1	1	0	0	0	0	1	1	0	1	1	0	3	1	
com.fuho.vacronviewer	15	25	18	18	14	16	26	25	13	13	11	14	16	25	18	18	14	20	27	
appinventor.ai_24bwestover.FoosballUtility_BW	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
photography.darkroom	6	0	5	5	0	3	6	0	3	3	0	3	4	0	5	5	0	6	6	
