	#Component	completeness			connectivity			completeness				connectivity				edge Num				oracle	#false negative 				false negative rate			
		dynamic	manual	whole	dynamic	manual	whole	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator	whole	ICCBot	IC3	IC3-dial	Gator	ICCBot	IC3	IC3-dial	Gator
com.creativesimulatorsstudio.mumICCBotcity	32	0.07	0.07	0.07	0.00	0.00	0.00	0.17	0.07	0.07	0.13	0.81	0.00	0.00	1.38	13	0	0	22	0	0	0	0	0	0.00	0.00	0.00	0.00
imox.condo.admin.app	42	0.02	0.02	0.02	0.00	0.00	0.00	0.60	0.02	0.02	0.08	1.57	0.00	0.00	0.24	33	0	0	5	0	0	0	0	0	0.00	0.00	0.00	0.00
com.companyname.Draw_Cut	13	0.08	0.08	0.08	0.00	0.00	0.00	0.31	0.31	0.31	0.17	0.92	0.77	0.77	0.15	6	5	5	1	0	0	0	0	0	0.00	0.00	0.00	0.00
com.bravolang.spanish	15	0.05	0.05	0.05	0.00	0.00	0.00	0.60	0.05	0.05	0.10	1.73	0.00	0.00	0.27	13	0	0	2	0	0	0	0	0	0.00	0.00	0.00	0.00
tk.todaynewsupdate.Senegaltodaynewsupdate	8	0.09	0.09	0.09	0.00	0.00	0.00	0.09	0.09	0.09	0.09	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
it.gp.radiolidi	8	0.19	0.19	0.19	0.00	0.00	0.00	0.75	0.47	0.47	0.34	1.25	0.50	0.50	0.25	5	2	2	1	0	0	0	0	0	0.00	0.00	0.00	0.00
org.smart_guide.smartguide.T_00007	29	0.06	0.06	0.06	0.00	0.00	0.00	0.16	0.06	0.09	0.08	0.62	0.00	0.14	0.07	9	0	2	1	0	0	0	0	0	0.00	0.00	0.00	0.00
jp.digitallab.diamond	13	0.12	0.12	0.12	0.00	0.00	0.00	0.58	0.40	0.12	0.12	2.31	1.85	0.00	0.00	15	12	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
io.appsly.stepper	6	0.17	0.17	0.17	0.00	0.00	0.00	1.00	0.17	0.17	0.54	3.00	0.00	0.00	1.00	9	0	0	3	0	0	0	0	0	0.00	0.00	0.00	0.00
app.com.efficiency	14	0.09	0.09	0.09	0.00	0.00	0.00	0.80	0.09	0.09	0.25	3.29	0.00	0.00	1.57	23	0	0	11	0	0	0	0	0	0.00	0.00	0.00	0.00
de.paulstelzer.iqtest	12	0.13	0.13	0.13	0.00	0.00	0.00	0.25	0.21	0.13	0.13	0.83	0.83	0.00	0.00	5	5	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.akgun.uknews	14	0.16	0.16	0.16	0.00	0.00	0.00	0.46	0.39	0.16	0.34	1.86	0.86	0.00	1.00	13	6	0	7	0	0	0	0	0	0.00	0.00	0.00	0.00
nl.sitedish.sakura	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.chubisapp.ChilltraxRadio	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
de.dbregio.wohinduwillst	25	0.05	0.05	0.05	0.00	0.00	0.00	0.74	0.05	0.07	0.85	2.56	0.00	0.48	33.60	32	0	6	420	0	0	0	0	0	0.00	0.00	0.00	0.00
lozi.loship_user	79	0.06	0.06	0.06	0.00	0.00	0.00	0.57	0.06	0.06	0.43	3.11	0.00	0.00	3.09	123	0	0	122	0	0	0	0	0	0.00	0.00	0.00	0.00
ma.safe.bnmaroc	21	0.10	0.10	0.10	0.00	0.00	0.00	0.48	0.10	0.10	0.33	2.10	0.00	0.00	0.95	22	0	0	10	0	0	0	0	0	0.00	0.00	0.00	0.00
com.aspireandroiddeveloper.gannsquare9calculator	6	0.17	0.17	0.17	0.00	0.00	0.00	1.00	0.17	0.54	0.54	2.00	0.00	0.67	0.67	6	0	2	2	0	0	0	0	0	0.00	0.00	0.00	0.00
tz.co.nyotaapps.housekeepers.housekeepers	12	0.08	0.08	0.08	0.00	0.00	0.00	0.60	0.08	0.08	0.92	2.17	0.00	0.00	20.17	13	0	0	121	0	0	0	0	0	0.00	0.00	0.00	0.00
com.ac.englishtoodiatranslator	10	0.18	0.18	0.18	0.00	0.00	0.00	0.85	0.18	0.18	0.45	3.20	0.00	0.00	1.40	16	0	0	7	0	0	0	0	0	0.00	0.00	0.00	0.00
com.atharosdev.SACPER	7	0.18	0.18	0.18	0.00	0.00	0.00	0.18	0.18	0.18	0.18	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.app.volumeet	17	0.09	0.09	0.09	0.00	0.00	0.00	0.35	0.28	0.09	0.18	1.65	0.82	0.00	0.71	14	7	0	6	0	0	0	0	0	0.00	0.00	0.00	0.00
com.aspers.dev	14	0.13	0.13	0.13	0.00	0.00	0.00	0.34	0.13	0.13	0.13	1.29	0.00	0.00	0.00	9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
air.com.gamilfoxkjdhf.gamikohscharikasd	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.blyts.trucolite.activities	8	0.16	0.16	0.16	0.00	0.00	0.00	0.63	0.44	0.44	0.16	1.50	1.00	1.00	0.00	6	4	4	0	0	0	0	0	0	0.00	0.00	0.00	0.00
cresents.firedragon	6	0.08	0.08	0.08	0.00	0.00	0.00	0.50	0.33	0.33	0.13	3.33	1.33	1.33	0.33	10	4	4	1	0	0	0	0	0	0.00	0.00	0.00	0.00
com.briox.riversip.android.tech.defense	47	0.05	0.05	0.05	0.00	0.00	0.00	0.56	0.05	0.05	0.11	2.21	0.00	0.00	0.17	52	0	0	4	0	0	0	0	0	0.00	0.00	0.00	0.00
green_green_avk.anothertermlite	10	0.10	0.10	0.10	0.00	0.00	0.00	0.90	0.10	0.22	0.72	2.20	0.00	0.20	1.80	11	0	1	9	0	0	0	0	0	0.00	0.00	0.00	0.00
com.auratko.kaise.garamkare	3	0.25	0.25	0.25	0.00	0.00	0.00	0.67	0.67	0.67	0.25	0.67	0.67	0.67	0.00	1	1	1	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.burhanrashid52.SelfieWithJennieBlackpinkkpop	20	0.08	0.08	0.08	0.00	0.00	0.00	0.39	0.08	0.15	0.16	1.30	0.00	0.20	0.60	13	0	2	6	0	0	0	0	0	0.00	0.00	0.00	0.00
jp.wec.mjcalc.free	2	0.38	0.38	0.38	0.00	0.00	0.00	0.38	0.38	0.38	1.00	0.00	0.00	0.00	1.00	0	0	0	1	0	0	0	0	0	0.00	0.00	0.00	0.00
com.app_guad.layout	45	0.07	0.07	0.07	0.00	0.00	0.00	0.32	0.07	0.07	0.07	1.82	0.00	0.00	0.00	41	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.bernard.IndiaNewsLive	4	0.19	0.19	0.19	0.00	0.00	0.00	0.38	0.19	0.19	0.38	1.00	0.00	0.00	2.00	2	0	0	4	0	0	0	0	0	0.00	0.00	0.00	0.00
com.caterpillar264.cortesdepelohombre	53	0.05	0.05	0.05	0.00	0.00	0.00	0.48	0.05	0.05	0.42	7.81	0.00	0.00	9.02	207	0	0	239	0	0	0	0	0	0.00	0.00	0.00	0.00
air.com.EscapeGamesBombSquad2	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
br.com.icolibra.saaedoco	1	0.75	0.75	0.75	0.00	0.00	0.00	0.75	0.75	0.75	0.75	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
physiotherapy.books	87	0.03	0.03	0.03	0.00	0.00	0.00	0.11	0.03	0.03	0.03	0.37	0.00	0.00	0.00	16	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.ayoub.dev.stayla_algerie_o	5	0.15	0.15	0.15	0.00	0.00	0.00	1.00	0.15	0.15	0.25	2.40	0.00	0.00	0.80	6	0	0	2	0	0	0	0	0	0.00	0.00	0.00	0.00
com.app.android.lknam.organizer	19	0.05	0.05	0.05	0.00	0.00	0.00	0.88	0.05	0.05	0.20	2.84	0.00	0.00	1.05	27	0	0	10	0	0	0	0	0	0.00	0.00	0.00	0.00
com.codesector.indrive	9	0.08	0.08	0.08	0.00	0.00	0.00	1.00	1.00	1.00	0.78	1.78	1.78	1.78	1.33	8	8	8	6	0	0	0	0	0	0.00	0.00	0.00	0.00
sweet.candy.camera	84	0.10	0.10	0.10	0.00	0.00	0.00	0.42	0.10	0.10	0.43	1.95	0.00	0.00	15.14	82	0	0	636	0	0	0	0	0	0.00	0.00	0.00	0.00
com.delivery.eiyoSushi	13	0.17	0.17	0.17	0.00	0.00	0.00	0.27	0.17	0.17	0.17	0.31	0.00	0.00	0.00	2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00
com.com.thedevs.com.brokensoundglass	3	0.25	0.25	0.25	0.00	0.00	0.00	0.67	0.75	0.67	0.67	0.67	1.33	0.67	0.67	1	2	1	1	0	0	0	0	0	0.00	0.00	0.00	0.00
piproduction.frankthejew	4	0.19	0.19	0.19	0.00	0.00	0.00	0.31	0.31	0.31	0.19	0.50	0.50	0.50	0.00	1	1	1	0	0	0	0	0	0	0.00	0.00	0.00	0.00
test.ICCBottestbuddy.medical	14	0.21	0.21	0.21	0.00	0.00	0.00	0.75	0.64	0.64	0.52	3.00	2.14	2.14	1.57	21	15	15	11	0	0	0	0	0	0.00	0.00	0.00	0.00
com.ayodev.dictionary.arabic	3	0.25	0.25	0.25	0.00	0.00	0.00	1.00	0.42	0.42	0.42	1.33	0.67	0.67	0.67	2	1	1	1	0	0	0	0	0	0.00	0.00	0.00	0.00
com.cadmiumcd.aapdcontainer2016	144	0.01	0.01	0.01	0.00	0.00	0.00	0.77	0.01	0.01	0.66	7.25	0.00	0.00	52.17	522	0	0	3756	0	0	0	0	0	0.00	0.00	0.00	0.00
conversor.conversaotaxasbasico.gbpbdt	4	0.19	0.19	0.19	0.00	0.00	0.00	0.75	0.19	0.19	0.75	1.50	0.00	0.00	1.00	3	0	0	2	0	0	0	0	0	0.00	0.00	0.00	0.00
dbeats.app.mp3.merger.trimmer.mixer.converter.speedchanger.mp3editor	18	0.04	0.04	0.04	0.00	0.00	0.00	1.00	0.04	0.04	0.25	3.22	0.00	0.00	2.22	29	0	0	20	0	0	0	0	0	0.00	0.00	0.00	0.00
emax.kannurshareef	7	0.11	0.11	0.11	0.00	0.00	0.00	0.86	0.57	0.68	0.29	2.29	0.86	1.43	0.29	8	3	5	1	0	0	0	0	0	0.00	0.00	0.00	0.00
appchen117.ICCBotapplication	64	0.01	0.01	0.01	0.00	0.00	0.00	0.30	0.01	0.01	0.16	1.38	0.00	0.00	0.91	44	0	0	29	0	0	0	0	0	0.00	0.00	0.00	0.00
