		callBack	staticCB	dynamicCB	implicitCB	atypicalICC	implicitICC	stringOp	staticVal	callContext	async	polym	nonAct	dynamicBC	fragment	adapter	widget	otherClass	isLibraryInvocation	staticCBOnly	dynamicCBOnly	implicitCBonly	atypicalICCOnly	implicitICCOnly	stringOpOnly	staticValOnly	callContextOnly	asyncOnly	polymOnly	nonActonly	dynamicBCOnly	fragmentOnly	adapterOnly	widgetOnly	otherClassOnly	libraryonly
CSipSimple	Gator         	17	4	4	15	3	6	0	6	1	6	1	6	0	9	2	0	4	0	0	0	4	1	0	0	0	0	0	0	2	0	4	0	0	0	0
CSipSimple	A3E         	18	4	6	14	3	6	0	6	1	6	1	4	0	9	2	0	6	0	0	2	3	1	0	0	0	0	0	0	0	2	4	0	0	0	0
CSipSimple	Story         	13	3	4	10	3	6	0	6	2	6	0	5	0	7	3	0	4	0	0	0	1	1	0	0	0	0	0	0	1	0	3	0	0	0	0
EteSync	oracle       	17	3	5	16	1	0	0	0	8	1	0	1	0	3	1	0	0	1	0	0	5	1	0	0	0	4	0	0	1	0	0	0	0	0	1
EteSync	ICCBot      	2	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
EteSync	IC3Dial     	17	3	5	16	1	0	0	0	8	1	0	1	0	3	1	0	0	1	0	0	5	1	0	0	0	4	0	0	1	0	0	0	0	0	1
EteSync	Gator         	14	3	3	14	1	0	0	0	7	1	0	1	0	3	0	0	0	0	0	0	4	1	0	0	0	4	0	0	1	0	0	0	0	0	0
EteSync	A3E         	14	3	4	14	0	0	0	0	8	1	0	1	0	3	1	0	0	0	0	0	4	0	0	0	0	4	0	0	1	0	0	0	0	0	0
EteSync	Story         	12	3	3	12	1	0	0	0	7	0	0	1	0	2	1	0	0	0	0	0	2	1	0	0	0	4	0	0	1	0	0	0	0	0	0
eu.vranckaert.worktime	oracle       	38	8	14	17	12	5	0	1	7	0	4	2	0	0	0	8	5	8	0	12	13	0	0	0	0	7	0	0	1	12	0	0	0	0	0
