app	tool	common	only	last
syncthing	Gator&Story@TP	Story	0.21	0.21	0.58
syncthing	Gator&Story@All	Gator	0.33	0.17	0.50
syncthing	Gator&Story@All	Story	0.33	0.50	0.17
syncthing	Gator&ICCBot@TP	Gator	0.21	0.05	0.74
syncthing	Gator&ICCBot@TP	ICCBot	0.21	0.58	0.21
syncthing	Gator&ICCBot@All	Gator	0.16	0.03	0.81
syncthing	Gator&ICCBot@All	ICCBot	0.16	0.81	0.03
syncthing	IC3&IC3dial@TP	IC3	0.00	0.00	1.00
syncthing	IC3&IC3dial@TP	IC3dial	0.00	0.00	1.00
syncthing	IC3&IC3dial@All	IC3	div0	div0	div0
syncthing	IC3&IC3dial@All	IC3dial	div0	div0	div0
syncthing	IC3&A3E@TP	IC3	0.00	0.00	1.00
syncthing	IC3&A3E@TP	A3E	0.00	0.42	0.58
syncthing	IC3&A3E@All	IC3	0.00	0.00	1.00
syncthing	IC3&A3E@All	A3E	0.00	1.00	0.00
syncthing	IC3&Story@TP	IC3	0.00	0.00	1.00
syncthing	IC3&Story@TP	Story	0.00	0.42	0.58
syncthing	IC3&Story@All	IC3	0.00	0.00	1.00
syncthing	IC3&Story@All	Story	0.00	1.00	0.00
syncthing	IC3&ICCBot@TP	IC3	0.00	0.00	1.00
syncthing	IC3&ICCBot@TP	ICCBot	0.00	0.79	0.21
syncthing	IC3&ICCBot@All	IC3	0.00	0.00	1.00
syncthing	IC3&ICCBot@All	ICCBot	0.00	1.00	0.00
syncthing	IC3dial&A3E@TP	IC3dial	0.00	0.00	1.00
syncthing	IC3dial&A3E@TP	A3E	0.00	0.42	0.58
syncthing	IC3dial&A3E@All	IC3dial	0.00	0.00	1.00
syncthing	IC3dial&A3E@All	A3E	0.00	1.00	0.00
syncthing	IC3dial&Story@TP	IC3dial	0.00	0.00	1.00
syncthing	IC3dial&Story@TP	Story	0.00	0.42	0.58
syncthing	IC3dial&Story@All	IC3dial	0.00	0.00	1.00
syncthing	IC3dial&Story@All	Story	0.00	1.00	0.00
syncthing	IC3dial&ICCBot@TP	IC3dial	0.00	0.00	1.00
syncthing	IC3dial&ICCBot@TP	ICCBot	0.00	0.79	0.21
syncthing	IC3dial&ICCBot@All	IC3dial	0.00	0.00	1.00
syncthing	IC3dial&ICCBot@All	ICCBot	0.00	1.00	0.00
syncthing	A3E&Story@TP	A3E	0.32	0.11	0.58
syncthing	A3E&Story@TP	Story	0.32	0.11	0.58
syncthing	A3E&Story@All	A3E	0.50	0.29	0.21
syncthing	A3E&Story@All	Story	0.50	0.21	0.29
syncthing	A3E&ICCBot@TP	A3E	0.37	0.05	0.58
syncthing	A3E&ICCBot@TP	ICCBot	0.37	0.42	0.21
syncthing	A3E&ICCBot@All	A3E	0.27	0.06	0.67
syncthing	A3E&ICCBot@All	ICCBot	0.27	0.67	0.06
syncthing	Story&ICCBot@TP	Story	0.37	0.05	0.58
